Country,Sex,Economic Activity,Currency,Year,Earning
Indonesia,Sex: Female,Economic activity (Aggregate): Construction,Currency: Local currency,2022,4587101.17
Indonesia,Sex: Female,Economic activity (Aggregate): Construction,Currency: 2017 PPP $,2022,938.19
Indonesia,Sex: Female,Economic activity (Aggregate): Construction,Currency: U.S. dollars,2022,308.9
Indonesia,Sex: Female,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",Currency: Local currency,2022,4072560.92
Indonesia,Sex: Female,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",Currency: 2017 PPP $,2022,832.96
Indonesia,Sex: Female,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",Currency: U.S. dollars,2022,274.25
Indonesia,Sex: Female,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Currency: Local currency,2022,2639766.94
Indonesia,Sex: Female,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Currency: 2017 PPP $,2022,539.91
Indonesia,Sex: Female,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Currency: U.S. dollars,2022,177.76
Indonesia,Sex: Female,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",Currency: Local currency,2022,2379700.3
Indonesia,Sex: Female,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",Currency: 2017 PPP $,2022,486.72
Indonesia,Sex: Female,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",Currency: U.S. dollars,2022,160.25
Indonesia,Sex: Total,Economic activity (Aggregate): Total,Currency: Local currency,2021,2511508.12
Indonesia,Sex: Total,Economic activity (Aggregate): Total,Currency: 2017 PPP $,2021,495.63
Indonesia,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2021,175.53
Indonesia,Sex: Total,Economic activity (Aggregate): Agriculture,Currency: Local currency,2021,1397337.38
Indonesia,Sex: Total,Economic activity (Aggregate): Agriculture,Currency: 2017 PPP $,2021,275.76
Indonesia,Sex: Total,Economic activity (Aggregate): Agriculture,Currency: U.S. dollars,2021,97.66
Indonesia,Sex: Total,Economic activity (Aggregate): Manufacturing,Currency: Local currency,2021,2664127.55
Indonesia,Sex: Total,Economic activity (Aggregate): Manufacturing,Currency: 2017 PPP $,2021,525.75
Indonesia,Sex: Total,Economic activity (Aggregate): Manufacturing,Currency: U.S. dollars,2021,186.2
Indonesia,Sex: Total,Economic activity (Aggregate): Construction,Currency: Local currency,2021,2319221.15
Indonesia,Sex: Total,Economic activity (Aggregate): Construction,Currency: 2017 PPP $,2021,457.69
Indonesia,Sex: Total,Economic activity (Aggregate): Construction,Currency: U.S. dollars,2021,162.09
Indonesia,Sex: Total,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",Currency: Local currency,2021,3467763.29
Indonesia,Sex: Total,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",Currency: 2017 PPP $,2021,684.35
Indonesia,Sex: Total,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",Currency: U.S. dollars,2021,242.36
Indonesia,Sex: Total,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Currency: Local currency,2021,2699775.81
Indonesia,Sex: Total,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Currency: 2017 PPP $,2021,532.79
Indonesia,Sex: Total,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Currency: U.S. dollars,2021,188.69
Indonesia,Sex: Total,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",Currency: Local currency,2021,2821090.49
Indonesia,Sex: Total,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",Currency: 2017 PPP $,2021,556.73
Indonesia,Sex: Total,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",Currency: U.S. dollars,2021,197.17
Indonesia,Sex: Male,Economic activity (Aggregate): Total,Currency: Local currency,2021,2679556.8
Indonesia,Sex: Male,Economic activity (Aggregate): Total,Currency: 2017 PPP $,2021,528.8
Indonesia,Sex: Male,Economic activity (Aggregate): Total,Currency: U.S. dollars,2021,187.27
Indonesia,Sex: Male,Economic activity (Aggregate): Agriculture,Currency: Local currency,2021,1589357.08
Indonesia,Sex: Male,Economic activity (Aggregate): Agriculture,Currency: 2017 PPP $,2021,313.65
Indonesia,Sex: Male,Economic activity (Aggregate): Agriculture,Currency: U.S. dollars,2021,111.08
Indonesia,Sex: Male,Economic activity (Aggregate): Manufacturing,Currency: Local currency,2021,2956770.09
Indonesia,Sex: Male,Economic activity (Aggregate): Manufacturing,Currency: 2017 PPP $,2021,583.5
Indonesia,Sex: Male,Economic activity (Aggregate): Manufacturing,Currency: U.S. dollars,2021,206.65
Indonesia,Sex: Male,Economic activity (Aggregate): Construction,Currency: Local currency,2021,2301942.63
Indonesia,Sex: Male,Economic activity (Aggregate): Construction,Currency: 2017 PPP $,2021,454.28
Indonesia,Sex: Male,Economic activity (Aggregate): Construction,Currency: U.S. dollars,2021,160.88
Indonesia,Sex: Male,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",Currency: Local currency,2021,3495903.42
Indonesia,Sex: Male,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",Currency: 2017 PPP $,2021,689.9
Indonesia,Sex: Male,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",Currency: U.S. dollars,2021,244.33
Indonesia,Sex: Male,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Currency: Local currency,2021,2812520.87
Indonesia,Sex: Male,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Currency: 2017 PPP $,2021,555.04
Indonesia,Sex: Male,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Currency: U.S. dollars,2021,196.57
Indonesia,Sex: Male,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",Currency: Local currency,2021,3344175.23
Indonesia,Sex: Male,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",Currency: 2017 PPP $,2021,659.96
Indonesia,Sex: Male,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",Currency: U.S. dollars,2021,233.73
Indonesia,Sex: Female,Economic activity (Aggregate): Total,Currency: Local currency,2021,2177332.31
Indonesia,Sex: Female,Economic activity (Aggregate): Total,Currency: 2017 PPP $,2021,429.69
Indonesia,Sex: Female,Economic activity (Aggregate): Total,Currency: U.S. dollars,2021,152.17
Indonesia,Sex: Female,Economic activity (Aggregate): Agriculture,Currency: Local currency,2021,882717.21
Indonesia,Sex: Female,Economic activity (Aggregate): Agriculture,Currency: 2017 PPP $,2021,174.2
Indonesia,Sex: Female,Economic activity (Aggregate): Agriculture,Currency: U.S. dollars,2021,61.69
Indonesia,Sex: Female,Economic activity (Aggregate): Manufacturing,Currency: Local currency,2021,2164731.94
Indonesia,Sex: Female,Economic activity (Aggregate): Manufacturing,Currency: 2017 PPP $,2021,427.2
Indonesia,Sex: Female,Economic activity (Aggregate): Manufacturing,Currency: U.S. dollars,2021,151.29
Indonesia,Sex: Female,Economic activity (Aggregate): Construction,Currency: Local currency,2021,3515271.91
Indonesia,Sex: Female,Economic activity (Aggregate): Construction,Currency: 2017 PPP $,2021,693.72
Indonesia,Sex: Female,Economic activity (Aggregate): Construction,Currency: U.S. dollars,2021,245.68
Indonesia,Sex: Female,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",Currency: Local currency,2021,3103565.7
Indonesia,Sex: Female,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",Currency: 2017 PPP $,2021,612.47
Indonesia,Sex: Female,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",Currency: U.S. dollars,2021,216.91
Indonesia,Sex: Female,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Currency: Local currency,2021,2443617.87
Indonesia,Sex: Female,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Currency: 2017 PPP $,2021,482.24
Indonesia,Sex: Female,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Currency: U.S. dollars,2021,170.79
Indonesia,Sex: Female,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",Currency: Local currency,2021,2364069.79
Indonesia,Sex: Female,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",Currency: 2017 PPP $,2021,466.54
Indonesia,Sex: Female,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",Currency: U.S. dollars,2021,165.23
Indonesia,Sex: Total,Economic activity (Aggregate): Total,Currency: Local currency,2020,2561509.93
Indonesia,Sex: Total,Economic activity (Aggregate): Total,Currency: 2017 PPP $,2020,490.35
Indonesia,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2020,175.66
Indonesia,Sex: Total,Economic activity (Aggregate): Agriculture,Currency: Local currency,2020,1417576.53
Indonesia,Sex: Total,Economic activity (Aggregate): Agriculture,Currency: 2017 PPP $,2020,271.37
Indonesia,Sex: Total,Economic activity (Aggregate): Agriculture,Currency: U.S. dollars,2020,97.21
Indonesia,Sex: Total,Economic activity (Aggregate): Manufacturing,Currency: Local currency,2020,2638697.49
Indonesia,Sex: Total,Economic activity (Aggregate): Manufacturing,Currency: 2017 PPP $,2020,505.13
Indonesia,Sex: Total,Economic activity (Aggregate): Manufacturing,Currency: U.S. dollars,2020,180.95
Indonesia,Sex: Total,Economic activity (Aggregate): Construction,Currency: Local currency,2020,2421813.13
Indonesia,Sex: Total,Economic activity (Aggregate): Construction,Currency: 2017 PPP $,2020,463.61
Indonesia,Sex: Total,Economic activity (Aggregate): Construction,Currency: U.S. dollars,2020,166.08
Indonesia,Sex: Total,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",Currency: Local currency,2020,3860530.99
Indonesia,Sex: Total,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",Currency: 2017 PPP $,2020,739.02
Indonesia,Sex: Total,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",Currency: U.S. dollars,2020,264.74
Indonesia,Sex: Total,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Currency: Local currency,2020,2778900.63
Indonesia,Sex: Total,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Currency: 2017 PPP $,2020,531.97
Indonesia,Sex: Total,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Currency: U.S. dollars,2020,190.57
Indonesia,Sex: Total,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",Currency: Local currency,2020,2847253.1
Indonesia,Sex: Total,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",Currency: 2017 PPP $,2020,545.05
Indonesia,Sex: Total,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",Currency: U.S. dollars,2020,195.26
Indonesia,Sex: Male,Economic activity (Aggregate): Total,Currency: Local currency,2020,2752550.31
Indonesia,Sex: Male,Economic activity (Aggregate): Total,Currency: 2017 PPP $,2020,526.92
Indonesia,Sex: Male,Economic activity (Aggregate): Total,Currency: U.S. dollars,2020,188.76
Indonesia,Sex: Male,Economic activity (Aggregate): Agriculture,Currency: Local currency,2020,1627323.4
Indonesia,Sex: Male,Economic activity (Aggregate): Agriculture,Currency: 2017 PPP $,2020,311.52
Indonesia,Sex: Male,Economic activity (Aggregate): Agriculture,Currency: U.S. dollars,2020,111.6
Indonesia,Sex: Male,Economic activity (Aggregate): Manufacturing,Currency: Local currency,2020,2925577.53
Indonesia,Sex: Male,Economic activity (Aggregate): Manufacturing,Currency: 2017 PPP $,2020,560.05
Indonesia,Sex: Male,Economic activity (Aggregate): Manufacturing,Currency: U.S. dollars,2020,200.63
Indonesia,Sex: Male,Economic activity (Aggregate): Construction,Currency: Local currency,2020,2404077.13
Indonesia,Sex: Male,Economic activity (Aggregate): Construction,Currency: 2017 PPP $,2020,460.21
Indonesia,Sex: Male,Economic activity (Aggregate): Construction,Currency: U.S. dollars,2020,164.86
Indonesia,Sex: Male,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",Currency: Local currency,2020,3916281.29
Indonesia,Sex: Male,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",Currency: 2017 PPP $,2020,749.7
Indonesia,Sex: Male,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",Currency: U.S. dollars,2020,268.57
Indonesia,Sex: Male,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Currency: Local currency,2020,2911937.22
Indonesia,Sex: Male,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Currency: 2017 PPP $,2020,557.43
Indonesia,Sex: Male,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Currency: U.S. dollars,2020,199.69
Indonesia,Sex: Male,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",Currency: Local currency,2020,3365657.77
Indonesia,Sex: Male,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",Currency: 2017 PPP $,2020,644.29
Indonesia,Sex: Male,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",Currency: U.S. dollars,2020,230.81
Indonesia,Sex: Female,Economic activity (Aggregate): Total,Currency: Local currency,2020,2186555.67
Indonesia,Sex: Female,Economic activity (Aggregate): Total,Currency: 2017 PPP $,2020,418.57
Indonesia,Sex: Female,Economic activity (Aggregate): Total,Currency: U.S. dollars,2020,149.95
Indonesia,Sex: Female,Economic activity (Aggregate): Agriculture,Currency: Local currency,2020,891864.06
Indonesia,Sex: Female,Economic activity (Aggregate): Agriculture,Currency: 2017 PPP $,2020,170.73
Indonesia,Sex: Female,Economic activity (Aggregate): Agriculture,Currency: U.S. dollars,2020,61.16
Indonesia,Sex: Female,Economic activity (Aggregate): Manufacturing,Currency: Local currency,2020,2143998.63
Indonesia,Sex: Female,Economic activity (Aggregate): Manufacturing,Currency: 2017 PPP $,2020,410.43
Indonesia,Sex: Female,Economic activity (Aggregate): Manufacturing,Currency: U.S. dollars,2020,147.03
Indonesia,Sex: Female,Economic activity (Aggregate): Construction,Currency: Local currency,2020,3358419.34
Indonesia,Sex: Female,Economic activity (Aggregate): Construction,Currency: 2017 PPP $,2020,642.9
Indonesia,Sex: Female,Economic activity (Aggregate): Construction,Currency: U.S. dollars,2020,230.31
Indonesia,Sex: Female,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",Currency: Local currency,2020,3156280.95
Indonesia,Sex: Female,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",Currency: 2017 PPP $,2020,604.21
Indonesia,Sex: Female,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",Currency: U.S. dollars,2020,216.45
Indonesia,Sex: Female,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Currency: Local currency,2020,2482865.3
Indonesia,Sex: Female,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Currency: 2017 PPP $,2020,475.3
Indonesia,Sex: Female,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Currency: U.S. dollars,2020,170.27
Indonesia,Sex: Female,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",Currency: Local currency,2020,2379532.03
Indonesia,Sex: Female,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",Currency: 2017 PPP $,2020,455.52
Indonesia,Sex: Female,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",Currency: U.S. dollars,2020,163.18
Indonesia,Sex: Total,Economic activity (Aggregate): Total,Currency: Local currency,2019,2589312.73
Indonesia,Sex: Total,Economic activity (Aggregate): Total,Currency: 2017 PPP $,2019,499.04
Indonesia,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2019,183.02
Indonesia,Sex: Total,Economic activity (Aggregate): Agriculture,Currency: Local currency,2019,1489810.2
Indonesia,Sex: Total,Economic activity (Aggregate): Agriculture,Currency: 2017 PPP $,2019,287.13
Indonesia,Sex: Total,Economic activity (Aggregate): Agriculture,Currency: U.S. dollars,2019,105.3
Indonesia,Sex: Total,Economic activity (Aggregate): Manufacturing,Currency: Local currency,2019,2638540.95
Indonesia,Sex: Total,Economic activity (Aggregate): Manufacturing,Currency: 2017 PPP $,2019,508.53
Indonesia,Sex: Total,Economic activity (Aggregate): Manufacturing,Currency: U.S. dollars,2019,186.5
Indonesia,Sex: Total,Economic activity (Aggregate): Construction,Currency: Local currency,2019,2402763.5
Indonesia,Sex: Total,Economic activity (Aggregate): Construction,Currency: 2017 PPP $,2019,463.09
Indonesia,Sex: Total,Economic activity (Aggregate): Construction,Currency: U.S. dollars,2019,169.83
Indonesia,Sex: Total,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",Currency: Local currency,2019,3876490.47
Indonesia,Sex: Total,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",Currency: 2017 PPP $,2019,747.12
Indonesia,Sex: Total,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",Currency: U.S. dollars,2019,274
Indonesia,Sex: Total,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Currency: Local currency,2019,2818922.29
Indonesia,Sex: Total,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Currency: 2017 PPP $,2019,543.29
Indonesia,Sex: Total,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Currency: U.S. dollars,2019,199.25
Indonesia,Sex: Total,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",Currency: Local currency,2019,2841382.87
Indonesia,Sex: Total,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",Currency: 2017 PPP $,2019,547.62
Indonesia,Sex: Total,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",Currency: U.S. dollars,2019,200.84
Indonesia,Sex: Male,Economic activity (Aggregate): Total,Currency: Local currency,2019,2796506.27
Indonesia,Sex: Male,Economic activity (Aggregate): Total,Currency: 2017 PPP $,2019,538.97
Indonesia,Sex: Male,Economic activity (Aggregate): Total,Currency: U.S. dollars,2019,197.67
Indonesia,Sex: Male,Economic activity (Aggregate): Agriculture,Currency: Local currency,2019,1698404.83
Indonesia,Sex: Male,Economic activity (Aggregate): Agriculture,Currency: 2017 PPP $,2019,327.33
Indonesia,Sex: Male,Economic activity (Aggregate): Agriculture,Currency: U.S. dollars,2019,120.05
Indonesia,Sex: Male,Economic activity (Aggregate): Manufacturing,Currency: Local currency,2019,2942609.31
Indonesia,Sex: Male,Economic activity (Aggregate): Manufacturing,Currency: 2017 PPP $,2019,567.13
Indonesia,Sex: Male,Economic activity (Aggregate): Manufacturing,Currency: U.S. dollars,2019,207.99
Indonesia,Sex: Male,Economic activity (Aggregate): Construction,Currency: Local currency,2019,2383622.34
Indonesia,Sex: Male,Economic activity (Aggregate): Construction,Currency: 2017 PPP $,2019,459.4
Indonesia,Sex: Male,Economic activity (Aggregate): Construction,Currency: U.S. dollars,2019,168.48
Indonesia,Sex: Male,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",Currency: Local currency,2019,3956253.61
Indonesia,Sex: Male,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",Currency: 2017 PPP $,2019,762.49
Indonesia,Sex: Male,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",Currency: U.S. dollars,2019,279.64
Indonesia,Sex: Male,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Currency: Local currency,2019,2981551.23
Indonesia,Sex: Male,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Currency: 2017 PPP $,2019,574.64
Indonesia,Sex: Male,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Currency: U.S. dollars,2019,210.75
Indonesia,Sex: Male,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",Currency: Local currency,2019,3372744.44
Indonesia,Sex: Male,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",Currency: 2017 PPP $,2019,650.03
Indonesia,Sex: Male,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",Currency: U.S. dollars,2019,238.4
Indonesia,Sex: Female,Economic activity (Aggregate): Total,Currency: Local currency,2019,2181905.69
Indonesia,Sex: Female,Economic activity (Aggregate): Total,Currency: 2017 PPP $,2019,420.52
Indonesia,Sex: Female,Economic activity (Aggregate): Total,Currency: U.S. dollars,2019,154.22
Indonesia,Sex: Female,Economic activity (Aggregate): Agriculture,Currency: Local currency,2019,971682.59
Indonesia,Sex: Female,Economic activity (Aggregate): Agriculture,Currency: 2017 PPP $,2019,187.27
Indonesia,Sex: Female,Economic activity (Aggregate): Agriculture,Currency: U.S. dollars,2019,68.68
Indonesia,Sex: Female,Economic activity (Aggregate): Manufacturing,Currency: Local currency,2019,2112638.66
Indonesia,Sex: Female,Economic activity (Aggregate): Manufacturing,Currency: 2017 PPP $,2019,407.17
Indonesia,Sex: Female,Economic activity (Aggregate): Manufacturing,Currency: U.S. dollars,2019,149.33
Indonesia,Sex: Female,Economic activity (Aggregate): Construction,Currency: Local currency,2019,3335566.33
Indonesia,Sex: Female,Economic activity (Aggregate): Construction,Currency: 2017 PPP $,2019,642.87
Indonesia,Sex: Female,Economic activity (Aggregate): Construction,Currency: U.S. dollars,2019,235.77
Indonesia,Sex: Female,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",Currency: Local currency,2019,2986603.47
Indonesia,Sex: Female,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",Currency: 2017 PPP $,2019,575.61
